"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.25821057394E+007, -5.19816357229E+001, +0.00000000000E+000
+2.26873451772E+007, -5.19365417497E+001, +0.00000000000E+000
+2.27925846149E+007, -5.18671749113E+001, +0.00000000000E+000
+2.28978240526E+007, -5.18177270115E+001, +0.00000000000E+000
+2.30030634903E+007, -5.17576245080E+001, +0.00000000000E+000
+2.31083029280E+007, -5.17012414882E+001, +0.00000000000E+000
+2.32135423658E+007, -5.16358540868E+001, +0.00000000000E+000
+2.33187818035E+007, -5.15892348446E+001, +0.00000000000E+000
+2.34240212412E+007, -5.15218554549E+001, +0.00000000000E+000
+2.35292606789E+007, -5.14582376196E+001, +0.00000000000E+000
+2.36345001166E+007, -5.14045602322E+001, +0.00000000000E+000
+2.37397395544E+007, -5.13619370981E+001, +0.00000000000E+000
+2.38449789921E+007, -5.12845868700E+001, +0.00000000000E+000
+2.39502184298E+007, -5.12421971958E+001, +0.00000000000E+000
+2.40554578675E+007, -5.11887094369E+001, +0.00000000000E+000
+2.41606973052E+007, -5.11413726520E+001, +0.00000000000E+000
+2.42659367429E+007, -5.10778239744E+001, +0.00000000000E+000
+2.43711761807E+007, -5.10134655830E+001, +0.00000000000E+000
+2.44764156184E+007, -5.09715056336E+001, +0.00000000000E+000
+2.45816550561E+007, -5.09109067402E+001, +0.00000000000E+000
+2.46868944938E+007, -5.08672352959E+001, +0.00000000000E+000
+2.47921339315E+007, -5.07978416606E+001, +0.00000000000E+000
+2.48973733693E+007, -5.07354520600E+001, +0.00000000000E+000
+2.50026128070E+007, -5.06772967152E+001, +0.00000000000E+000
+2.51078522447E+007, -5.06307554548E+001, +0.00000000000E+000
+2.52130916824E+007, -5.05842871391E+001, +0.00000000000E+000
+2.53183311201E+007, -5.05243397226E+001, +0.00000000000E+000
+2.54235705578E+007, -5.04652632591E+001, +0.00000000000E+000
+2.55288099956E+007, -5.03925272378E+001, +0.00000000000E+000
+2.56340494333E+007, -5.03350363781E+001, +0.00000000000E+000
+2.57392888710E+007, -5.02906128307E+001, +0.00000000000E+000
+2.58445283087E+007, -5.02374669181E+001, +0.00000000000E+000
+2.59497677464E+007, -5.01829192235E+001, +0.00000000000E+000
+2.60550071842E+007, -5.01189811291E+001, +0.00000000000E+000
+2.61602466219E+007, -5.00640517890E+001, +0.00000000000E+000
+2.62654860596E+007, -5.00087544058E+001, +0.00000000000E+000
+2.63707254973E+007, -4.99625885002E+001, +0.00000000000E+000
+2.64759649350E+007, -4.99033329796E+001, +0.00000000000E+000
+2.65812043728E+007, -4.98571628513E+001, +0.00000000000E+000
+2.66864438105E+007, -4.97966288159E+001, +0.00000000000E+000
+2.67916832482E+007, -4.97357112489E+001, +0.00000000000E+000
+2.69153480393E+007, -4.96681529685E+001, +0.00000000000E+000
+2.70616076803E+007, -4.95937121897E+001, +0.00000000000E+000
+2.72078673213E+007, -4.95232941640E+001, +0.00000000000E+000
+2.73541269623E+007, -4.94377442125E+001, +0.00000000000E+000
+2.75003866033E+007, -4.93719434510E+001, +0.00000000000E+000
+2.76466462443E+007, -4.92925466761E+001, +0.00000000000E+000
+2.77929058853E+007, -4.92092534955E+001, +0.00000000000E+000
+2.79391655263E+007, -4.91435775841E+001, +0.00000000000E+000
+2.80854251673E+007, -4.90645972930E+001, +0.00000000000E+000
+2.82316848083E+007, -4.89870498450E+001, +0.00000000000E+000
+2.83779444493E+007, -4.89172166554E+001, +0.00000000000E+000
+2.85242040903E+007, -4.88300049125E+001, +0.00000000000E+000
+2.86704637313E+007, -4.87584820310E+001, +0.00000000000E+000
+2.88167233724E+007, -4.86863032180E+001, +0.00000000000E+000
+2.89629830134E+007, -4.86057503267E+001, +0.00000000000E+000
+2.91092426544E+007, -4.85290276273E+001, +0.00000000000E+000
+2.92555022954E+007, -4.84497591846E+001, +0.00000000000E+000
+2.94017619364E+007, -4.83791869698E+001, +0.00000000000E+000
+2.95480215774E+007, -4.82964868448E+001, +0.00000000000E+000
+2.96942812184E+007, -4.82306550082E+001, +0.00000000000E+000
+2.98405408594E+007, -4.81541854830E+001, +0.00000000000E+000
+2.99868005004E+007, -4.80769335560E+001, +0.00000000000E+000
+3.01330601414E+007, -4.79948175073E+001, +0.00000000000E+000
+3.02793197824E+007, -4.79368685096E+001, +0.00000000000E+000
+3.04255794234E+007, -4.78539296212E+001, +0.00000000000E+000
+3.05718390644E+007, -4.77887302704E+001, +0.00000000000E+000
+3.07180987054E+007, -4.77045149236E+001, +0.00000000000E+000
+3.08643583464E+007, -4.76300470221E+001, +0.00000000000E+000
+3.10106179874E+007, -4.75556435247E+001, +0.00000000000E+000
+3.11568776285E+007, -4.74784041778E+001, +0.00000000000E+000
+3.13031372695E+007, -4.73975735444E+001, +0.00000000000E+000
+3.14493969105E+007, -4.73193457980E+001, +0.00000000000E+000
+3.15956565515E+007, -4.72456863421E+001, +0.00000000000E+000
+3.17419161925E+007, -4.71648843476E+001, +0.00000000000E+000
+3.18881758335E+007, -4.71016391813E+001, +0.00000000000E+000
+3.20344354745E+007, -4.70188618326E+001, +0.00000000000E+000
+3.21806951155E+007, -4.69462242554E+001, +0.00000000000E+000
+3.23269547565E+007, -4.68747247626E+001, +0.00000000000E+000
+3.24732143975E+007, -4.67897871109E+001, +0.00000000000E+000
+3.26194740385E+007, -4.67087127328E+001, +0.00000000000E+000
+3.27657336795E+007, -4.66431375599E+001, +0.00000000000E+000
+3.29119933205E+007, -4.65690168128E+001, +0.00000000000E+000
+3.30582529615E+007, -4.64949483758E+001, +0.00000000000E+000
+3.32045126025E+007, -4.64133222444E+001, +0.00000000000E+000
+3.33507722436E+007, -4.63413708276E+001, +0.00000000000E+000
+3.34970318846E+007, -4.62626173477E+001, +0.00000000000E+000
+3.36432915256E+007, -4.61884119869E+001, +0.00000000000E+000
+3.37895511666E+007, -4.61169132560E+001, +0.00000000000E+000
+3.39358108076E+007, -4.60348063049E+001, +0.00000000000E+000
+3.40820704486E+007, -4.59606033908E+001, +0.00000000000E+000
+3.42283300896E+007, -4.58803648365E+001, +0.00000000000E+000
+3.43745897306E+007, -4.58053114471E+001, +0.00000000000E+000
+3.45208493716E+007, -4.57243190445E+001, +0.00000000000E+000
+3.46671090126E+007, -4.56459431474E+001, +0.00000000000E+000
+3.48133686536E+007, -4.55745599287E+001, +0.00000000000E+000
+3.49596282946E+007, -4.54944603976E+001, +0.00000000000E+000
+3.51058879356E+007, -4.54232853925E+001, +0.00000000000E+000
+3.52521475766E+007, -4.53446744929E+001, +0.00000000000E+000
+3.53984072176E+007, -4.52639416962E+001, +0.00000000000E+000
+3.55446668586E+007, -4.51891184658E+001, +0.00000000000E+000
+3.56909264997E+007, -4.51260459956E+001, +0.00000000000E+000
+3.58371861407E+007, -4.50376020978E+001, +0.00000000000E+000
+3.59834457817E+007, -4.49597873397E+001, +0.00000000000E+000
+3.61297054227E+007, -4.48821855991E+001, +0.00000000000E+000
+3.62759650637E+007, -4.48086762038E+001, +0.00000000000E+000
+3.64222247047E+007, -4.47357281886E+001, +0.00000000000E+000
+3.65684843457E+007, -4.46577337727E+001, +0.00000000000E+000
+3.67147439867E+007, -4.45826884526E+001, +0.00000000000E+000
+3.68610036277E+007, -4.45030698400E+001, +0.00000000000E+000
+3.70072632687E+007, -4.44191077768E+001, +0.00000000000E+000
+3.71535229097E+007, -4.43399920264E+001, +0.00000000000E+000
+3.73250157796E+007, -4.42549763445E+001, +0.00000000000E+000
+3.75283350389E+007, -4.41497405776E+001, +0.00000000000E+000
+3.77316542983E+007, -4.40385198869E+001, +0.00000000000E+000
+3.79349735577E+007, -4.39306195668E+001, +0.00000000000E+000
+3.81382928171E+007, -4.38239924433E+001, +0.00000000000E+000
+3.83416120764E+007, -4.37060305104E+001, +0.00000000000E+000
+3.85449313358E+007, -4.36027887514E+001, +0.00000000000E+000
+3.87482505952E+007, -4.34932093295E+001, +0.00000000000E+000
+3.89515698546E+007, -4.33859666925E+001, +0.00000000000E+000
+3.91548891139E+007, -4.32747612119E+001, +0.00000000000E+000
+3.93582083733E+007, -4.31641666075E+001, +0.00000000000E+000
+3.95615276327E+007, -4.30678524561E+001, +0.00000000000E+000
+3.97648468920E+007, -4.29468202097E+001, +0.00000000000E+000
+3.99681661514E+007, -4.28395989444E+001, +0.00000000000E+000
+4.01714854108E+007, -4.27261340139E+001, +0.00000000000E+000
+4.03748046702E+007, -4.26135757113E+001, +0.00000000000E+000
+4.05781239295E+007, -4.25013646140E+001, +0.00000000000E+000
+4.07814431889E+007, -4.23991364345E+001, +0.00000000000E+000
+4.09847624483E+007, -4.22830832975E+001, +0.00000000000E+000
+4.11880817077E+007, -4.21643432547E+001, +0.00000000000E+000
+4.13914009670E+007, -4.20552369042E+001, +0.00000000000E+000
+4.15947202264E+007, -4.19432977273E+001, +0.00000000000E+000
+4.17980394858E+007, -4.18286521854E+001, +0.00000000000E+000
+4.20013587452E+007, -4.17137617323E+001, +0.00000000000E+000
+4.22046780045E+007, -4.16070147322E+001, +0.00000000000E+000
+4.24079972639E+007, -4.14950318970E+001, +0.00000000000E+000
+4.26113165233E+007, -4.13703482186E+001, +0.00000000000E+000
+4.28146357826E+007, -4.12662175975E+001, +0.00000000000E+000
+4.30179550420E+007, -4.11527938460E+001, +0.00000000000E+000
+4.32212743014E+007, -4.10360379848E+001, +0.00000000000E+000
+4.34245935608E+007, -4.09146513489E+001, +0.00000000000E+000
+4.36279128201E+007, -4.08060906898E+001, +0.00000000000E+000
+4.38312320795E+007, -4.06861941563E+001, +0.00000000000E+000
+4.40345513389E+007, -4.05723147898E+001, +0.00000000000E+000
+4.42378705983E+007, -4.04628191249E+001, +0.00000000000E+000
+4.44411898576E+007, -4.03416893552E+001, +0.00000000000E+000
+4.46445091170E+007, -4.02241514494E+001, +0.00000000000E+000
+4.48478283764E+007, -4.01084866717E+001, +0.00000000000E+000
+4.50511476357E+007, -3.99953767663E+001, +0.00000000000E+000
+4.52544668951E+007, -3.98696861822E+001, +0.00000000000E+000
+4.54577861545E+007, -3.97525339732E+001, +0.00000000000E+000
+4.56611054139E+007, -3.96334729417E+001, +0.00000000000E+000
+4.58644246732E+007, -3.95175574806E+001, +0.00000000000E+000
+4.60677439326E+007, -3.94006204335E+001, +0.00000000000E+000
+4.62710631920E+007, -3.92838344796E+001, +0.00000000000E+000
+4.64743824514E+007, -3.91635520627E+001, +0.00000000000E+000
+4.66777017107E+007, -3.90420670085E+001, +0.00000000000E+000
+4.68810209701E+007, -3.89177821633E+001, +0.00000000000E+000
+4.70843402295E+007, -3.87928859248E+001, +0.00000000000E+000
+4.72876594889E+007, -3.86754523359E+001, +0.00000000000E+000
+4.74909787482E+007, -3.85576099179E+001, +0.00000000000E+000
+4.76942980076E+007, -3.84300062682E+001, +0.00000000000E+000
+4.78976172670E+007, -3.83071579899E+001, +0.00000000000E+000
+4.81009365263E+007, -3.81903183392E+001, +0.00000000000E+000
+4.83042557857E+007, -3.80658468576E+001, +0.00000000000E+000
+4.85075750451E+007, -3.79392750037E+001, +0.00000000000E+000
+4.87108943045E+007, -3.78127908813E+001, +0.00000000000E+000
+4.89142135638E+007, -3.76911482296E+001, +0.00000000000E+000
+4.91175328232E+007, -3.75683008692E+001, +0.00000000000E+000
+4.93208520826E+007, -3.74389573483E+001, +0.00000000000E+000
+4.95241713420E+007, -3.73191826482E+001, +0.00000000000E+000
+4.97274906013E+007, -3.71851512268E+001, +0.00000000000E+000
+4.99308098607E+007, -3.70652696190E+001, +0.00000000000E+000
+5.01341291201E+007, -3.69359797684E+001, +0.00000000000E+000
+5.03374483794E+007, -3.68068094104E+001, +0.00000000000E+000
+5.05407676388E+007, -3.66765112108E+001, +0.00000000000E+000
+5.07440868982E+007, -3.65503550522E+001, +0.00000000000E+000
+5.09474061576E+007, -3.64169129170E+001, +0.00000000000E+000
+5.11507254169E+007, -3.62873943323E+001, +0.00000000000E+000
+5.13540446763E+007, -3.61624517664E+001, +0.00000000000E+000
+5.15573639357E+007, -3.60315161506E+001, +0.00000000000E+000
+5.17606831951E+007, -3.59008295323E+001, +0.00000000000E+000
+5.19995996534E+007, -3.57502223226E+001, +0.00000000000E+000
+5.22821686458E+007, -3.55671488546E+001, +0.00000000000E+000
+5.25647376383E+007, -3.53735534320E+001, +0.00000000000E+000
+5.28473066308E+007, -3.51927479856E+001, +0.00000000000E+000
+5.31298756233E+007, -3.50065356363E+001, +0.00000000000E+000
+5.34124446158E+007, -3.48215417561E+001, +0.00000000000E+000
+5.36950136082E+007, -3.46266977686E+001, +0.00000000000E+000
+5.39775826007E+007, -3.44396392304E+001, +0.00000000000E+000
+5.42601515932E+007, -3.42553408727E+001, +0.00000000000E+000
+5.45427205857E+007, -3.40597667152E+001, +0.00000000000E+000
+5.48252895782E+007, -3.38720514649E+001, +0.00000000000E+000
+5.51078585707E+007, -3.36729065832E+001, +0.00000000000E+000
+5.53904275631E+007, -3.34773420646E+001, +0.00000000000E+000
+5.56729965556E+007, -3.32843168080E+001, +0.00000000000E+000
+5.59555655481E+007, -3.30858678640E+001, +0.00000000000E+000
+5.62381345406E+007, -3.28879916600E+001, +0.00000000000E+000
